'ce7e6c2d-cc2d-4328-914e-dec3a191924e', '17fa9820-9b96-42f4-abd6-2dfa1fbe3a78', 1000, '3', '6-#', 13, 'K-8', 18, 'stand', '6-7-9', 22, 'K-8', 18, 1003, 'dealerBusted'
'ce7e6c2d-cc2d-4328-914e-dec3a191924e', '18200c97-7701-4e70-b032-f44c484ebe42', 1003, '3', '6-#', 10, '4-7', 11, 'stand', '6-4-8', 18, '4-7', 11, 1000, 'dealerMore'
'ce7e6c2d-cc2d-4328-914e-dec3a191924e', 'a90def86-467d-4af4-85f2-5d58ccfb0f20', 1000, '32', '2-#', 12, '8-3-4-4', 19, 'stand', '2-10-A-5', 18, '8-3-4-4', 19, 1032, 'playerMore'
'0e0dbb0b-e8c0-4d66-b49c-656fda716bc9', 'a6688fe3-6fa3-4640-be7f-6c8071b45ce1', 1000, '3', '2-#', 12, '10-4-5', 19, 'stand', '2-10-6', 18, '10-4-5', 19, 1003, 'playerMore'
'4924ac50-2c86-4a83-b22f-0a62fe5ee1a4', '8faca78c-576d-4b24-a456-672089213a3d', 1000, '7', 'K-#', 16, '7-2', 9, 'hit'
'5c7ae5ac-4d8a-40ff-8a8f-ef7742cbaaad', 'c2a8dc67-4966-49c1-b06f-733d08dadea1', 1000, '4', '10-#', 11, 'Q-7', 17, 'hit', 996, 'playerBusted'
'5c7ae5ac-4d8a-40ff-8a8f-ef7742cbaaad', '373f21f3-e6bc-429c-8963-a093d6ca7e97', 996, '3', '2-#', 9, '2-3', 5, 'hit'
'5c7ae5ac-4d8a-40ff-8a8f-ef7742cbaaad', 'e783e2b9-cb9a-4553-ad9d-77a867ae91cd', 996, '4', '2-#', 18, '2-3-5-10-J', 30, 'hit', 992, 'playerBusted'
'5c7ae5ac-4d8a-40ff-8a8f-ef7742cbaaad', '6d844e80-b8fc-4460-a806-9dc06fa700ff', 992, '4', '2-#', 10, 'Q-5', 15, 'stand', '2-8-2-2-10', 24, 'Q-5', 15, 996, 'dealerBusted'
'5c7ae5ac-4d8a-40ff-8a8f-ef7742cbaaad', '1e623c0d-92a6-4c64-84e8-4fbfdf226cbf', 996, '5', 'A-#', 6, '6-10', 16, 'hit', 991, 'playerBusted'
'5c7ae5ac-4d8a-40ff-8a8f-ef7742cbaaad', '3359ece6-4d8c-47a5-85eb-ac07ce00f9b5', 991, '4', '7-#', 17, '2-A', 3, 'hit'
'f38d609c-5175-45e8-9e26-7147306d7078', '3d66e5f1-21a7-49f1-95fb-2343c7e7f9f6', 1000, '3', 'K-#', 14, '8-4', 12, 'hit', 997, 'playerBusted'
'f38d609c-5175-45e8-9e26-7147306d7078', '818c89c3-4839-4c45-b2a2-2892b9c319e8', 997, '4', '8-#', 18, '2-A', 3, 'hit'
'4cc22569-653c-4f52-9c5a-64cbeffb9890', 'bc9941b4-f22d-477b-9919-fcd72a233ed2', 1000, '4', '9-#', 17, 'K-2', 12, 'hit', 996, 'playerBusted'
'4cc22569-653c-4f52-9c5a-64cbeffb9890', 'd5078d3f-80c0-437c-979b-9c79f786d9df', 996, '5', '2-#', 3, 'J-8', 18, 'hit', 991, 'playerBusted'
'4cc22569-653c-4f52-9c5a-64cbeffb9890', 'f489604f-0267-453b-8eca-2e6771e8a009', 991, '5', '2-#', 6, 'J-Q', 20, 'hit', 986, 'playerBusted'
'4cc22569-653c-4f52-9c5a-64cbeffb9890', '3e1a5d52-5c72-4a37-9399-9b49d74374e9', 986, '5', '4-#', 9, '2-4-7', 13, 'hit', 981, 'playerBusted'
'4cc22569-653c-4f52-9c5a-64cbeffb9890', 'e8468952-1b5b-40ff-9e5a-e82f80324933', 981, '5', '8-#', 18, 'K-Q', 20, 'hit', 976, 'playerBusted'
'4cc22569-653c-4f52-9c5a-64cbeffb9890', '17b88748-5b24-4eac-a640-844e72626ae9', 976, '5', '10-#', 20, '6-9', 15, 'hit', 971, 'playerBusted'
'4cc22569-653c-4f52-9c5a-64cbeffb9890', '078909e9-56bb-4bc8-8bd4-f0c6a705f0d9', 971, '5', '6-#', 15, '9-K', 19, 'stand', '6-9-2', 17, '9-K', 19, 976, 'playerMore'
'4cc22569-653c-4f52-9c5a-64cbeffb9890', '9d7bb439-00fc-4f1a-9201-6e5a8509d913', 976, '4', '4-#', 6, '5-8', 13, 'stand', '4-2-10', 16, '5-8', 13, 972, 'dealerMore'
'4cc22569-653c-4f52-9c5a-64cbeffb9890', '495ff701-a485-4e45-bc2f-cb26300818f5', 972, '6', '7-#', 17, '6-8', 14, 'hit', 966, 'playerBusted'
